init,lambda,threshold,soft_acc,hard_acc,sparsity
zero,0.001,0.2,0.5536,0.5232,5.375623924875215e-05
zero,0.001,0.25,0.5536,0.5224,5.573905135218973e-05
zero,0.001,0.3,0.5536,0.523,6.25687374862525e-05
zero,0.001,0.35,0.5536,0.5229,0.0023620799963340005
zero,0.001,0.4,0.5536,0.518,0.0192446234948253
zero,0.005,0.2,0.5462,0.5109,0.0019175996164800767
zero,0.005,0.25,0.5462,0.5112,0.0020230191266461745
zero,0.005,0.3,0.5462,0.5112,0.0072290024604495075
zero,0.005,0.35,0.5462,0.5126,0.00864296780265644
zero,0.005,0.4,0.5462,0.4903,0.027267411734017654
zero,0.01,0.2,0.5533,0.5121,0.01007466829756634
zero,0.01,0.25,0.5533,0.5123,0.01111300090239982
zero,0.01,0.3,0.5533,0.5126,0.0118664695017061
zero,0.01,0.35,0.5533,0.5189,0.012766445884210824
zero,0.01,0.4,0.5533,0.5194,0.052528437931812416
zero,0.03,0.2,0.5477,0.5172,0.011771514833197034
zero,0.03,0.25,0.5477,0.5187,0.030454341565381685
zero,0.03,0.3,0.5477,0.5193,0.03437876734299653
zero,0.03,0.35,0.5477,0.5183,0.03806591660556668
zero,0.03,0.4,0.5477,0.524,0.08163457742308451
zero,0.05,0.2,0.5363,0.4982,0.029837356532528694
zero,0.05,0.25,0.5363,0.5007,0.032650746594850684
zero,0.05,0.3,0.5363,0.5033,0.034886807866388425
zero,0.05,0.35,0.5363,0.5056,0.06772988723527255
zero,0.05,0.4,0.5363,0.5117,0.1021046889540622
neg05,0.001,0.2,0.541,0.4809,6.884764248047151e-05
neg05,0.001,0.25,0.541,0.4724,0.0026619252488649502
neg05,0.001,0.3,0.541,0.4778,0.041402879219424156
neg05,0.001,0.35,0.541,0.5016,0.36104915435266915
neg05,0.001,0.4,0.541,0.2328,0.879089880432024
neg05,0.005,0.2,0.5493,0.5062,0.002701911959617608
neg05,0.005,0.25,0.5493,0.5061,0.010387842453681509
neg05,0.005,0.3,0.5493,0.5098,0.052081644271171144
neg05,0.005,0.35,0.5493,0.5275,0.38610231574828685
neg05,0.005,0.4,0.5493,0.2368,0.8838340888581823
neg05,0.01,0.2,0.5518,0.487,0.010009565966836807
neg05,0.01,0.25,0.5518,0.4765,0.011292665710216858
neg05,0.01,0.3,0.5518,0.4564,0.0737209540058092
neg05,0.01,0.35,0.5518,0.4885,0.42627926630664675
neg05,0.01,0.4,0.5518,0.252,0.8925483277403344
neg05,0.03,0.2,0.5435,0.4657,0.03002715571331886
neg05,0.03,0.25,0.5435,0.4688,0.032507323186035365
neg05,0.03,0.3,0.5435,0.4782,0.09559071056935789
neg05,0.03,0.35,0.5435,0.5053,0.4252831235371253
neg05,0.03,0.4,0.5435,0.1975,0.8937460564070387
neg05,0.05,0.2,0.5459,0.501,0.028267850596429882
neg05,0.05,0.25,0.5459,0.5011,0.04278522972420405
neg05,0.05,0.3,0.5459,0.5049,0.0984332920320916
neg05,0.05,0.35,0.5459,0.527,0.44023572992160404
neg05,0.05,0.4,0.5459,0.2009,0.8986640913609317
